Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:11:35.828 PM 4/14/2023 	 3.995031 	 297.647000 	 44.546000 	 -68.775501 	 3.997874 	 297.647000 	 44.546000 	 -68.775501 	 109.010810 	 109.400379 	 300.830262
2:11:45.828 PM 4/14/2023 	 3.991752 	 297.647000 	 44.546000 	 -69.002994 	 3.997705 	 297.647000 	 44.546000 	 -69.002994 	 109.012835 	 109.405681 	 300.835923
2:11:55.828 PM 4/14/2023 	 3.984582 	 297.647000 	 44.546000 	 -68.143526 	 3.997042 	 297.647000 	 44.546000 	 -68.143526 	 109.013430 	 109.410446 	 300.841064
2:12:06.328 PM 4/14/2023 	 3.998827 	 297.647000 	 44.546000 	 -68.909940 	 3.989211 	 297.647000 	 44.546000 	 -68.909940 	 109.014740 	 109.414973 	 300.845453
2:12:16.828 PM 4/14/2023 	 3.996864 	 297.647000 	 44.546000 	 -67.448958 	 3.987386 	 297.647000 	 44.546000 	 -67.448958 	 109.016349 	 109.420810 	 300.849064
2:12:27.328 PM 4/14/2023 	 3.983660 	 297.647000 	 44.546000 	 -67.694071 	 3.992278 	 297.647000 	 44.546000 	 -67.694071 	 109.017540 	 109.428137 	 300.852466
2:12:37.828 PM 4/14/2023 	 3.986938 	 297.647000 	 44.546000 	 -68.218563 	 3.992668 	 297.647000 	 44.546000 	 -68.218563 	 109.019386 	 109.435642 	 300.855246
2:12:48.328 PM 4/14/2023 	 3.994682 	 297.647000 	 44.546000 	 -68.818808 	 3.984566 	 297.647000 	 44.546000 	 -68.818808 	 109.019803 	 109.442909 	 300.857272
2:12:58.828 PM 4/14/2023 	 3.985513 	 297.647000 	 44.546000 	 -67.730424 	 3.997164 	 297.647000 	 44.546000 	 -67.730424 	 109.021888 	 109.450474 	 300.859117
2:13:09.328 PM 4/14/2023 	 3.991534 	 297.647000 	 44.546000 	 -68.186411 	 3.991940 	 297.647000 	 44.546000 	 -68.186411 	 109.023019 	 109.456371 	 300.860624
2:13:19.828 PM 4/14/2023 	 3.991933 	 297.647000 	 44.546000 	 -67.471663 	 3.994463 	 297.647000 	 44.546000 	 -67.471663 	 109.024151 	 109.462149 	 300.862079
2:13:29.828 PM 4/14/2023 	 4.000543 	 297.647000 	 44.546000 	 -66.613815 	 3.997408 	 297.647000 	 44.546000 	 -66.613815 	 109.024389 	 109.468582 	 300.863456
2:13:40.328 PM 4/14/2023 	 3.993658 	 297.647000 	 44.546000 	 -67.062832 	 3.988760 	 297.647000 	 44.546000 	 -67.062832 	 109.025402 	 109.476266 	 300.864651
2:13:50.328 PM 4/14/2023 	 3.989670 	 297.647000 	 44.546000 	 -67.182609 	 3.987529 	 297.647000 	 44.546000 	 -67.182609 	 109.026474 	 109.483056 	 300.865249
2:14:00.328 PM 4/14/2023 	 3.991939 	 297.647000 	 44.546000 	 -67.666593 	 3.987724 	 297.647000 	 44.546000 	 -67.666593 	 109.027546 	 109.489489 	 300.866132
2:14:10.828 PM 4/14/2023 	 4.001524 	 297.647000 	 44.546000 	 -68.611447 	 3.990401 	 297.647000 	 44.546000 	 -68.611447 	 109.028141 	 109.496756 	 300.867015
2:14:21.328 PM 4/14/2023 	 3.997425 	 297.647000 	 44.546000 	 -67.054185 	 3.995496 	 297.647000 	 44.546000 	 -67.054185 	 109.028201 	 109.503070 	 300.868107
2:14:31.328 PM 4/14/2023 	 3.994353 	 297.647000 	 44.546000 	 -67.424156 	 3.990916 	 297.647000 	 44.546000 	 -67.424156 	 109.029035 	 109.509027 	 300.868730
2:14:41.828 PM 4/14/2023 	 3.979607 	 297.647000 	 44.546000 	 -67.511239 	 4.000173 	 297.647000 	 44.546000 	 -67.511239 	 109.030345 	 109.514805 	 300.870056
2:14:52.329 PM 4/14/2023 	 3.994592 	 297.647000 	 44.546000 	 -67.448258 	 3.996521 	 297.647000 	 44.546000 	 -67.448258 	 109.031179 	 109.519629 	 300.870991
2:15:02.828 PM 4/14/2023 	 3.991700 	 297.647000 	 44.546000 	 -68.127708 	 3.991777 	 297.647000 	 44.546000 	 -68.127708 	 109.032311 	 109.524454 	 300.872187
2:15:12.829 PM 4/14/2023 	 3.994725 	 297.647000 	 44.546000 	 -68.607037 	 3.996975 	 297.647000 	 44.546000 	 -68.607037 	 109.032668 	 109.528445 	 300.873174
2:15:23.328 PM 4/14/2023 	 3.994257 	 297.647000 	 44.546000 	 -67.569869 	 3.991358 	 297.647000 	 44.546000 	 -67.569869 	 109.033621 	 109.531602 	 300.874812
2:15:33.828 PM 4/14/2023 	 3.992218 	 297.647000 	 44.546000 	 -67.975755 	 3.985710 	 297.647000 	 44.546000 	 -67.975755 	 109.034574 	 109.534163 	 300.876501
2:15:44.328 PM 4/14/2023 	 3.989326 	 297.647000 	 44.546000 	 -67.753286 	 3.981208 	 297.647000 	 44.546000 	 -67.753286 	 109.035348 	 109.538333 	 300.877722
2:15:54.329 PM 4/14/2023 	 4.007406 	 297.647000 	 44.546000 	 -68.219679 	 3.983754 	 297.647000 	 44.546000 	 -68.219679 	 109.035825 	 109.541788 	 300.879464
2:16:04.828 PM 4/14/2023 	 3.994568 	 297.647000 	 44.546000 	 -66.905538 	 3.993355 	 297.647000 	 44.546000 	 -66.905538 	 109.037135 	 109.545064 	 300.881205
2:16:15.328 PM 4/14/2023 	 3.993233 	 297.647000 	 44.546000 	 -67.614005 	 4.002964 	 297.647000 	 44.546000 	 -67.614005 	 109.037731 	 109.547327 	 300.882687
2:16:25.329 PM 4/14/2023 	 3.995898 	 297.647000 	 44.546000 	 -66.999225 	 3.990034 	 297.647000 	 44.546000 	 -66.999225 	 109.038981 	 109.549829 	 300.884715
2:16:35.828 PM 4/14/2023 	 4.000948 	 297.647000 	 44.546000 	 -66.640408 	 3.993582 	 297.647000 	 44.546000 	 -66.640408 	 109.039934 	 109.552331 	 300.887106
2:16:46.328 PM 4/14/2023 	 3.997966 	 297.647000 	 44.546000 	 -67.004281 	 4.001753 	 297.647000 	 44.546000 	 -67.004281 	 109.040232 	 109.555607 	 300.889264
2:16:56.828 PM 4/14/2023 	 3.998673 	 297.647000 	 44.546000 	 -67.214516 	 3.989717 	 297.647000 	 44.546000 	 -67.214516 	 109.041066 	 109.557573 	 300.891578
2:17:07.328 PM 4/14/2023 	 3.990059 	 297.647000 	 44.546000 	 -67.062807 	 3.987939 	 297.647000 	 44.546000 	 -67.062807 	 109.041602 	 109.559896 	 300.894022
2:17:17.828 PM 4/14/2023 	 4.001515 	 297.647000 	 44.546000 	 -67.366083 	 3.999178 	 297.647000 	 44.546000 	 -67.366083 	 109.041662 	 109.561147 	 300.896596
2:17:27.828 PM 4/14/2023 	 3.983767 	 297.647000 	 44.546000 	 -67.722934 	 3.983955 	 297.647000 	 44.546000 	 -67.722934 	 109.042019 	 109.562874 	 300.898910
2:17:41.673 PM 4/14/2023 	 3.998039 	 297.647000 	 44.546000 	 -67.769987 	 3.993939 	 297.647000 	 44.546000 	 -67.769987 	 109.042138 	 109.564661 	 300.902525
2:17:52.173 PM 4/14/2023 	 3.988550 	 297.647000 	 44.546000 	 -66.760413 	 3.995246 	 297.647000 	 44.546000 	 -66.760413 	 109.041662 	 109.565912 	 300.905880
2:18:02.673 PM 4/14/2023 	 3.996398 	 297.647000 	 44.546000 	 -67.342793 	 3.995630 	 297.647000 	 44.546000 	 -67.342793 	 109.041900 	 109.566567 	 300.909235
2:18:13.173 PM 4/14/2023 	 4.008619 	 297.647000 	 44.546000 	 -68.200913 	 3.982276 	 297.647000 	 44.546000 	 -68.200913 	 109.041840 	 109.567758 	 300.912980
2:18:23.173 PM 4/14/2023 	 3.995796 	 297.647000 	 44.546000 	 -68.069807 	 3.998753 	 297.647000 	 44.546000 	 -68.069807 	 109.042615 	 109.569307 	 300.916830
2:18:33.673 PM 4/14/2023 	 3.987281 	 297.647000 	 44.546000 	 -67.301007 	 3.982939 	 297.647000 	 44.546000 	 -67.301007 	 109.043746 	 109.571928 	 300.920420
2:18:44.173 PM 4/14/2023 	 4.002618 	 297.647000 	 44.546000 	 -65.980611 	 3.999640 	 297.647000 	 44.546000 	 -65.980611 	 109.044461 	 109.574191 	 300.924167
2:18:54.673 PM 4/14/2023 	 3.994353 	 297.647000 	 44.546000 	 -67.876614 	 3.998092 	 297.647000 	 44.546000 	 -67.876614 	 109.044818 	 109.576693 	 300.928122
2:19:04.673 PM 4/14/2023 	 3.989015 	 297.647000 	 44.546000 	 -67.638369 	 3.987901 	 297.647000 	 44.546000 	 -67.638369 	 109.045771 	 109.579671 	 300.932025
2:19:14.674 PM 4/14/2023 	 4.006725 	 297.647000 	 44.546000 	 -66.981171 	 3.986324 	 297.647000 	 44.546000 	 -66.981171 	 109.046307 	 109.582411 	 300.935928
2:19:25.173 PM 4/14/2023 	 3.995168 	 297.647000 	 44.546000 	 -66.706751 	 3.991585 	 297.647000 	 44.546000 	 -66.706751 	 109.046784 	 109.585747 	 300.940171
2:19:35.173 PM 4/14/2023 	 3.992372 	 297.647000 	 44.546000 	 -67.335467 	 3.985326 	 297.647000 	 44.546000 	 -67.335467 	 109.047558 	 109.588368 	 300.943893
2:19:45.672 PM 4/14/2023 	 3.987712 	 297.647000 	 44.546000 	 -66.510657 	 3.988128 	 297.647000 	 44.546000 	 -66.510657 	 109.048332 	 109.590989 	 300.947797
2:19:55.673 PM 4/14/2023 	 3.984628 	 297.647000 	 44.546000 	 -67.446409 	 3.989112 	 297.647000 	 44.546000 	 -67.446409 	 109.048332 	 109.593550 	 300.952145
2:20:06.173 PM 4/14/2023 	 3.993946 	 297.647000 	 44.546000 	 -67.125448 	 3.993951 	 297.647000 	 44.546000 	 -67.125448 	 109.048511 	 109.595516 	 300.956024
2:20:16.673 PM 4/14/2023 	 3.992299 	 297.647000 	 44.546000 	 -66.954378 	 3.984572 	 297.647000 	 44.546000 	 -66.954378 	 109.048630 	 109.597720 	 300.960763
2:20:27.173 PM 4/14/2023 	 3.993562 	 297.647000 	 44.546000 	 -67.226797 	 3.995421 	 297.647000 	 44.546000 	 -67.226797 	 109.048035 	 109.599804 	 300.964956
